bus-stop     公共汽车站
Scotland     苏格兰(英国)
season       季，季节
see          看见

sell         卖，出售，销售

sensational 轰动的

September    9月

serve        侍候(顾客)
set          降落，下山

sharp        锋利的

sharpen      使锐利，使尖锐
shave        刮脸

shelf        搁板，架子

shine        照耀，发光
ship         船，轮船
shirt        衬衫(衣)
shoes        鞋

shopping     购物

short        矮的
show         给…看，显示

shut         关着的；关闭

sideboard    餐具橱

sign         标记，牌子
sincecon     自…以来，既然

sister       姐妹
sit          坐，就座

size         大小；尺码
skirt        裙(子)

sky          天空
sleep        睡；睡眠

slip         滑倒；失足
slowly       慢慢地
small        小的，少的
smart        漂亮的，时髦的

smile        微笑

snow         下雪；雪，下雪

so           也；如此，这
soap         肥皂

soft         柔软的，柔滑的
some         若干的，多少的
someone      有人，某人

sometimes    有时，往往
son          儿子
sorry        抱歉的

sour         酸的
south        南；南方的
Spain        西班牙
Spanish      西班牙的

speak        讲，说，谈话
speak up     大声地说

speed        速度
spell        拼写

spend        度过，花费(钱等)
spoon        匙，调羹
spot         地点，斑点

spring      春，春季

square       广场，正方形
stale        陈腐的

stand        站立；持久

station      车站
stationer    文具商

stationery   文具
stay         停留

steak        牛排

still        仍，至今还
Stockholm    斯德哥尔摩
stomach-ache 胃痛

stop         停止，逗留

story        故事

street       街，街区

student      学生

stupid       愚笨的

subject      题目

suddenly     突然地

sugar        糖

suit         一套衣服；适合

suitcase     小提箱

summer       夏天

sun          太阳，恒星

Sunday       星期日

surprise     惊奇，意外事

surround     包围，环绕
swallow      吞下，咽下
Sweden       瑞典

Swedish     瑞典的
sweep        扫，打扫
sweet        甜的

swim         游泳

Sydney       悉尼
table        桌子

ake          拿，捉；占领

take advice  接受劝告

take off     脱掉
tall         高的
tap          龙头

-taxi-driver 出租汽车司机
tea          茶，茶叶

teacher      教师

teacup       茶杯
teapot       茶壶
teaspoonful 一茶匙的量；一满匙

teeth        牙齿
Teheran      德黑兰

telephone    电话，电话机

television   电视机
tell         讲，告诉；报告

temperature 温度

terrible     可怕的
than         比
thank        感谢

thank        感谢
that         那(个)
then         然后，其时

thief        贼，窃贼，小偷
thin         瘦的

think        想，考虑，想起

thirstily    口渴地

thirsty      渴的，干的

this         这个；这…
this         这，这个，这事

those        那些

through      通过,穿过,透过

through      穿过，通过
throw        扔，投，摔倒
Thursday     星期四
ticket       标签，号牌
tie          领带

till         直到

time         时间，时光
tin          白铁罐
tired        疲乏，累

tobacco      烟草，烟叶，烟

tobacconist 烟草商

today        今天
together     在一起
Tokyo        东京

tomato       西红柿

tomorrow     明天，未来
tongue       舌，语言

tonight      今晚

too          也，还；太，很

toothache    牙痛

torch        火炬；火把
tourist      旅游者

town        (城)镇

track       (运动场的)跑道
train        列车，火车

tramp        流浪者
travel       旅行；旅行
tree         树木

trousers     裤子
truth        真相，真实性
try          试，试着
Tuesday      星期二

Turkey       土耳其

Turkish      土耳其语

turn off     关上(电灯等)
turn on      打开(电灯等)

type         打字
typist       打字员

tyre         轮胎
ugly         丑陋的，难看的
umbrella     伞，伞形
under        在…之下，在下

understand   了解，理解
untidy       不整齐的，零乱的
upstairs     楼上

urgent       紧急的，急切的

usually     通常

valley       山谷

vase         花瓶
vegetable    蔬菜
very         很，非常
village      村，村庄，乡村

visitor      访问者，参观者
voice        声音，(讲话)声

wait         等待
walk         行，走，步行
wall         墙，墙壁，城墙

want         要，想要，需求

wardrobe     衣橱

warmly       热情地

wash         洗，冲洗，冲走
watch        手表，警戒

water        水；浇水

wave         挥手招呼；挥动

way          路，路程，路线

wear         穿，戴；磨损
weather      天气；处境
Wednesday    星期三
week-end     周末
well         安好的，好的
were be      的过去式

west         西；西方的

wet          潮湿的，多雨的
what         什么，多么
What's up?  干什么？

忙什么？
when         什么时候；时候
where        在哪里

which        哪一(个)

whisky       威士忌酒

white        白色的

whose        谁的
wife         妻子

window       窗户
wine         葡萄酒，酒

winner       获胜者，得奖者

winter       冬，冬季

with         与…一起

woman        女人，妇女

wood         树林，木材

word         单词；口信

work         工作，功率

world        世界

-worry        烦恼，担忧
worth        相当…之价值
wrong        不适当的
X-ray        Ｘ射线，Ｘ光
year         年，岁数
yellow       黄的，黄色的

yet          还，仍，更

young        年轻的
youth        少年，少小时代
Yugoslavia   南斯拉夫

Yugoslavian 南斯拉夫人

zip          拉链

windy        起风的

warm         暖和的

on instalments  分期付款

return ticket   来回车票

come out of…   由…出来

butcher's shop  肉店
dressing-table  梳妆台
record-player   电唱机

see the world   见见世面
uncomfortable   不舒服的

What a nuisance!    真讨厌

for another two days 再要两天
make up one's mind 决定，决心

 


ability      能力；技能
able         有才能的
accept       接受，承担
accidentally 意外地；偶然地
accompany   陪伴，伴奏
account      说明；占

accurate     准确的；正确的
accustom     使习惯，习惯于
acquire      取得，获得
act          行动，做，表演
active       活的，活动的

actual       实际的

actually     实际上
add          补充说，增添
admire       赞美，钦佩
admit        准许进入
advertiser   做广告的人
afterwards   后来，然后
agree        同意，承认
agreement    协议，契约
ahead        在前面，向前
aim          瞄准，
aircraft     飞机
airfield     飞机场
air-hostess  女乘务员
album        照片册
alibi        托辞，辩解
alive        有生气的
all right    行，好，可以
allow        允许，认为
almost      差不多，将近
alone        单独的；单独
also         亦，也，同样
althoughcon  尽管，虽然
amateur      业余的
ambassador   大使；代表
amusement    娱乐，消遣
amusing      有趣的，逗人的
ancient      古代的，古老的
angrily      气愤地
angrily      气愤地
angry        发怒的，生气的
angry        发怒的，生气的
announce     宣布，发表
announcer    播音员，宣告者
annoy        使恼火，使生气
annoying     恼人的，讨厌的
anxiously    焦急地，不安地
anyway       不管怎样；无论如何
anywhere     任何地方
apart        离开，除去
apparently   明显地，外表地
appear       出场，显露
appetite     胃口，肉欲
appreciate   欣赏；鉴别
approach     走近，接近

architect    建筑师，创制者
area         地区，面积
arm          装备，供给
around       环绕，在附近
arrest       拘捕，抑止
art          艺术，技巧
article      商品，文章
artiste      艺人，技艺家
as far as     尽…所…(限度)
aside        到旁边，在旁边
ask for      征求，索取
asleep       睡着了的
astonish     使惊讶
astronaut    宇宙航行员
Atlantic     大西洋的
Atlantic     大西洋的
attempt      试图，袭击
attend       出席；照应
attention    关心，注意力
attention    关心；注意力
aunt         姨母，伯母
authorities 当局，权力
average      平均的
avoid        避免，废止
awkwardly    局促不安地；笨拙地
badly        严重地

 bag         手提包，袋
balloon      气球，飞船
bark         吠叫，怒吼
basement     地下室，墙脚
batter       击破，炮击
be pleased with 对…满意
bear         忍受，负担
bear         忍受，负担
because of   因为，由于
before       在…以前
beggar       乞丐，募捐者
bell         钟，铃，钟声
below        在下面
beneath      在…下面

bicycle      自行车
bill         帐单；报单
bird         鸟，禽
Birmingham   伯明翰(英国)
biscuit      饼干
bits         小片，少许
bitterly     厉害地

blackened    熏黑了的；抹黑了的

blaze        发强光，闪耀
blessing     福气；祝福
block        一排，一套
blow         吹起，吹动
board        甲板，木板
boldly       勇敢地
bomb         炸弹

boot         长筒靴
border       边界，边境
borrow       借，借用
bow          俯躬，俯首
brake pedal  刹车踏板
Brasilia     巴西利亚
breath       呼吸；气味
bright       明亮的
brilliant    辉煌的
Britain      不列颠，英国
British      英国的
